060855003001036,060855003001036,060855003001036,+37.3432369,-121.9108033,0,41
060855003001037,060855003001037,060855003001038,+37.3442048,-121.9118558,0,29
060855003001038,060855003001038,060855003001038,+37.3433407,-121.9130709,5,0
060855003001039,060855003001039,060855003001039,+37.3443286,-121.9141533,25,30
060855003001040,060855003001040,060855003001040,+37.3453273,-121.9152346,79,27
060855003001041,060855003001041,060855003001041,+37.3444598,-121.9164641,25,23
060855003001042,060855003001042,060855003001042,+37.3426524,-121.9141126,0,39
060855003001043,060855003001043,060855003001043,+37.3435169,-121.9153722,0,64
060855003001044,060855003001044,060855003001046,+37.3439153,-121.9173176,0,37
060855003001045,060855003001045,060855003001046,+37.3417836,-121.9141057,0,0
060855003001046,060855003001046,060855003001046,+37.3422618,-121.9122656,0,0
060855003001047,060855003001047,060855003001049,+37.3418151,-121.9009039,0,7
060855003001048,060855003001048,060855003001049,+37.3413782,-121.9006985,0,0
060855003001049,060855003001049,060855003001049,+37.3406239,-121.9015097,12,0
060855003001050,060855003001050,060855003001050,+37.3397016,-121.9011350,0,9
060855003001051,060855003001051,060855003001051,+37.3397882,-121.9067052,0,25
060855003001052,060855003001052,060855003001052,+37.3390437,-121.9061892,0,263
060855003001053,060855003001053,060855003001054,+37.3390138,-121.9087332,0,21
060855003001054,060855003001054,060855003001054,+37.3412257,-121.9124066,0,0
060855003001055,060855003001055,060855003001055,+37.3390910,-121.9107153,0,210
060855003001056,060855003001056,060855003001057,+37.3357147,-121.9069440,0,3
060855003001057,060855003001057,060855003001057,+37.3362634,-121.9056519,0,0
060855003001058,060855003001058,060855003001059,+37.3375271,-121.9063642,0,32
060855003001059,060855003001059,060855003001059,+37.3370471,-121.9022693,11,0
060855003001060,060855003001060,060855003001062,+37.3384617,-121.9002794,0,25
060855003001061,060855003001061,060855003001062,+37.3390354,-121.9015081,0,0
060855003001062,060855003001062,060855003001062,+37.3386842,-121.9028271,0,0
060855003001063,060855003001063,060855003001064,+37.3440873,-121.9095947,0,282
060855003001064,060855003001064,060855003001064,+37.3365602,-121.9038563,186,0
060855003001065,060855003001065,060855003001065,+37.3347528,-121.9018997,106,24
060855003001066,060855003001066,060855003001066,+37.3352265,-121.9006267,42,23
060855003001067,060855003001067,060855003001068,+37.3332288,-121.8996523,0,1527
060855003001068,060855003001068,060855003001068,+37.3329563,-121.9008043,0,0
060855003001069,060855003001069,060855003001070,+37.3335155,-121.9027652,0,30
060855003001070,060855003001070,060855003001070,+37.3356598,-121.9045647,18,0
060855003001071,060855003001071,060855003001071,+37.3332228,-121.9043608,0,335
060855003002000,060855003002000,060855003002000,+37.3307970,-121.8997251,0,14
060855003002001,060855003002001,060855003002001,+37.3305977,-121.9006359,3,48
060855003002002,060855003002002,060855003002003,+37.3316926,-121.9016919,0,180
060855003002003,060855003002003,060855003002003,+37.3278496,-121.9000913,0,0
060855003002004,060855003002004,060855003002004,+37.3286064,-121.9006105,0,19
060855003002005,060855003002005,060855003002005,+37.3286442,-121.9020571,4,48
060855003002006,060855003002006,060855003002008,+37.3300588,-121.9015695,0,15
060855003002007,060855003002007,060855003002008,+37.3311936,-121.9016571,0,0
060855003002008,060855003002008,060855003002008,+37.3291398,-121.9029516,0,0
060855003002009,060855003002009,060855003002009,+37.3282279,-121.9036082,13,24
060855003002010,060855003002010,060855003002010,+37.3305190,-121.9041620,82,2
060855003002011,060855003002011,060855003002011,+37.3281411,-121.9038384,103,2
060855003002012,060855003002012,060855003002012,+37.3276180,-121.9045716,99,1
060855003002013,060855003002013,060855003002013,+37.3269011,-121.9056814,84,7
060855003002014,060855003002014,060855003002014,+37.3291963,-121.9049979,692,23
060855003002015,060855003002015,060855003002015,+37.3303564,-121.9060322,89,21
060855003002016,060855003002016,060855003002016,+37.3303210,-121.9069484,80,9
